City,Latitude,Longitude
Corte Madera,-122.5274755,37.9254806
Corvallis,-123.2620435,44.5645659
Cosgrave,-118.015694,40.796571
Cosmopolis,-123.7737763,46.955372
Costa Mesa,-117.9186689,33.6411316
Cotati,-122.7072098,38.3268593
Cottage Grove,-123.0595246,43.797623
Cotton Center,-119.142884,36.0660638
Cottonwood,-149.5641667,61.5133333
Cougar,-122.2995413,46.0514993
Coulee City,-119.2922499,47.6112561
Coulee Dam,-118.9761322,47.9654304
Coulterville,-120.1979658,37.710486
Country Homes,-117.4043851,47.7485023
Coupeville,-122.6862804,48.2198208
Courtland,-121.568566,38.3310231
Covada,-118.2088794,48.2204454
Cove,-122.5079074,47.4520423
Covelo,-123.2480687,39.7929324
Covina,-117.8903397,34.0900091
Covington,-122.122155,47.358182
Cowan,-120.9890625,37.5599133
Cowan Heights,-117.7739427,33.7777952
Cowell,-121.9894053,37.9527005
Cowiche,-120.7122935,46.6698469
Coyote Wells,-115.9675123,32.7386713
Crabtree,-122.8981455,44.6351225
Crafton,-117.1217021,34.0630688
Craig,-133.1483333,55.4763889
Crane,-118.5782574,43.4151559
Crannell,-124.0847889,41.0117923
Crawfordsville,-122.8578637,44.3570691
Crescent,-121.6955803,43.4623474
Crescent City,-124.2017474,41.7559481
Crescent Lake,-121.9694742,43.5092914
Crescent Mills,-120.9107882,40.0965579
Crescent Valley,-116.5764745,40.4160278
Cressey,-120.6674207,37.4196598
Crestline,-114.1260919,37.663579
Creston,-118.519718,47.7584877
Creswell,-123.0245261,43.9179023
Crockett,-122.2130236,38.0524208
Cromberg,-120.6916117,39.8601738
Cromwell,-122.6223514,47.2742638
Crooked Creek,-158.1108333,61.87
Crows Landing,-121.0715976,37.3938244
Crucero,-116.1655703,35.0472061
Crystal Bay,-120.0040787,39.2260181
Crystal Falls,-145.7291667,60.4858333
Cudahy,-118.1853486,33.9605701
Culp Creek,-122.8475662,43.7034561
Culver,-121.2130974,44.5256753
Culver City,-118.3964665,34.0211224
Cumberland,-121.9270553,47.2828796
Cunningham,-118.8063872,46.8220859
Cupertino,-122.0321823,37.3229978
Curlew,-118.5994714,48.8854493
Currie,-114.7430821,40.266597
Curry,-150.0119444,62.6147222
Curtin,-123.2120299,43.7223433
Cushman,-124.0442834,43.9856774
Cusick,-117.2971655,48.3374055
Custer,-122.6379502,48.917334
Cutler,-119.2867823,36.5232834
Cutten,-124.1428379,40.7698498
Cuyama,-119.6151279,34.9352537
Cypress,-118.0372852,33.8169599
Daggett,-116.888092,34.8633187
Dairy,-121.52111,42.2351469
Daisy,-118.1599909,48.3612832
Dale,-118.9474744,44.9884873
Dalkena,-117.2377146,48.2449036
Dallas,-123.3170472,44.9192844
Dallesport,-121.1795155,45.6173426
Daly City,-122.4619166,37.7057657
Damascus,-122.4589783,45.417621
